"Action","Acci&oacute;n"
"Backups Control","Control de copias de seguridad"
"Backups","Copias de seguridad"
"Create Backup","Crear copia de seguridad"
"DB","DB"
"Download","Descargar"
"Backup file doesn't exist","El archivo de la copia de seguridad no existe"
"File compressed with Zlib, but this extension is not installed on server","El archivo est&aacute; comprimido con Zlib, pero esta extensi&oacute;n no est&aacute; instalada en el servidor"
"Time","Fecha"
"Cannot read backup file","No se puede leer la copia de seguridad"
"Wrong order of creation for new backup","Orden err&oacute;nea para la creaci&oacute;n de una nueva copia de seguridad"
"Type","Tipo"
"All types","Todos los tipos"
