"Update the Product","Actualizar el producto"
"Minimum Qty for Items' Status to be In Stock","Cantidad m&iacute;nima para que el estado de los art&iacute;culos sea En Existencia"
"Decrease Stock When Order is Placed","Disminuir las existencias cuando se realiza un Pedido"
"Inventory","Inventario"
"The requested quantity for ""%s"" is not available.","La cantidad solicitada ""%s"" no est&aacute; disponible."
"The requested quantity is not available.","La cantidad solicitada no est&aacute; disponible."
"Maximum Qty Allowed in Shopping Cart","M&aacute;xima cantidad permitida en el carrito de compras"
"Minimum Qty Allowed in Shopping Cart","M&iacute;nima cantidad permitida en el carrito de compras"
"No Backorders","No hay pedidos de art&iacute;culos agotados"
"Can not specify product identifier for order item","No se puede especificar el identificador del producto para el art&iacute;culo del Pedido"
"Notify for Quantity Below","Notificar para cantidad debajo de"
"Stock Options","Opciones de Existencias"
"To Percentage","Para porcentaje"
"To Fixed Value","Para valor fijo"
"Backorders","Pedidos de art&iacute;culos agotados"
"Allow Qty Below 0","Permitir cantidades por debajo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidades por debajo del 0 y notificar al cliente"
"By Percentage","Por porcentaje"
"By Fixed value","Por valor fijo"
"Rule price","Regla de precios"
