"%s and greater","%s y mayor"
"Advanced Search","B&uacute;squeda Avanzada"
"Catalog Advanced Search","B&uacute;squeda avanzada en el catalogo"
"Search Site","B&uacute;squeda en el sitio"
"Search","Buscar"
"Search entire store here...","Buscar en toda la tienda..."
"Required Fields","Campos requeridos"
"Tax Class","Clase de impuesto"
"SKU","CODIGO"
"Search Settings","Configuraciones de la b&uacute;squeda"
"Grid","Cuadr&iacute;cula"
"You have to specify at least one search term","Debe especificar al menos un t&eacute;rmino de b&uacute;squeda"
"Description","Descripci&oacute;n"
"Short Description","Descripci&oacute;n corta"
"up to %s","Hasta %s"
"Home","Inicio"
"Go to Home Page","Ir a la pagina de inicio"
"List","Lista"
"Autogenerated site map","Mapa del sitio autogenerado"
"There are no search terms available.","No existen t&eacute;rminos de b&uacute;squeda disponibles."
"Name","Nombre"
"Price","Precio"
"Results","Resultados"
"Search results for '%s'","Resultados de la b&uacute;squeda para '%s'"
"Search results for: '%s'","Resultados de la b&uacute;squeda para: '%s'"
"Your search returns no results.","Su b&uacute;squeda no devolvi&oacute; resultados."
"Search Terms","T&eacute;rminos de b&uacute;squeda"
"Popular search terms","T&eacute;rminos de busqueda populares"
"Popular Search Terms","T&eacute;rminos de busqueda populares"
"All","Todo"
