"%s was successfully added to your shopping cart.","%s fue agregado con &eacute;xito al carrito de compras."
"&laquo; Back to Billing Information","&laquo; Volver a la Informaci&oacute;n de la facturaci&oacute;n"
"&laquo; Back to Shopping Cart","&laquo; Volver al Carrito de Compras"
"&laquo; Back to Select Addresses","&laquo; Volver para selecconar direcciones"
"* Required Fields","* Campos Requeridos"
"Login","Acceder"
"Update Shopping Cart","Actualizar el carrito de compras"
"Update Total","Actualizar el total"
"Update Qty &amp; Addresses","Actualizar la cantidad  &amp; Direcciones"
"Add to Wishlist","Agregar a la lista de art&iacute;culos de inter&eacute;s"
"Add to Compare","Agregar a la lista de comparaci&oacute;n"
"Add to Cart","Agregar al carrito"
"Add New Address","Agregar nuevas direcciones"
"Some of the products you requested are unavailable","Algunos de los art&iacute;culos solicitados no est&aacute;n disponibles"
"Some of the products you requested are not available in the desired quantity","Algunos de los art&iacute;culos solicitados no est&aacute;n disponibles en la cantidad deseada"
"Last Name","Apellido"
"Apply Coupon","Aplicar un cup&oacute;n"
"Items","Art&iacute;culos"
"Zip/Postal Code","C&oacute;digo postal"
"Discount Codes","C&oacute;digos de descuento"
"Street Address","Calle"
"Street Address 2","Calle 2"
"Change Shipping Method","Cambiar el m&eacute;todo de env&iacute;o"
"Change Payment Method","Cambiar el m&eacute;todo de pago"
"Change Shipping Address","Cambiar la direcci&oacute;n de env&iacute;o"
"Change Billing Address","Cambiar la direcci&oacute;n de facturaci&oacute;n"
"Qty","Cantidad"
"Loading next step...","Cargando el siguiente paso..."
"Shopping Cart","Carrito de compras"
"Close","Cerrar"
"City","Ciudad"
"Company","Compa&ntilde;&iacute;a"
"Fast and easy check out","Compra r&aacute;pida y f&aacute;cil"
"Checkout with Multiple Addresses","Comprar con m&uacute;ltiples direcciones"
"Confirm Password","Confirmar la contrase&ntilde;a"
"Continue","Continuar"
"Continue to Shipping Information","Continuar a la informaci&oacute;n de env&iacute;o"
"Continue to Review Your Order","Continuar a la revisaci&oacute;n de su Pedido"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar hacia la informacion de facturacion"
"Password","Contrase&ntilde;a"
"Create Shipping Address","Crear una direcci&oacute;n de env&iacute;o"
"Create Billing Address","Crear una direcci&oacute;n de facturaci&oacute;n"
"After adding a product redirect to shopping cart","Despu&eacute;s de agregar un producto, regresar al carrito de compras"
"Address","Direcci&oacute;n"
"Address %s of %s","Direcci&oacute;n %s de %s"
"Email Address","Direcci&oacute;n de correo electr&oacute;nico"
"Billing Address","Direcci&oacute;n de facturaci&oacute;n"
"Shipping Address","Direcci&oacute;n del env&iacute;o"
"Sorry, no quotes are available for this order at this time.","Disculpe, no hay cotizaciones disponibles para este Pedido en este momento."
"Edit","Editar"
"Edit Address","Editar la direcci&oacute;n"
"Edit Shipping Address","Editar la direcci&oacute;n de env&iacute;o"
"Edit Billing Address","Editar la informaci&oacute;n de facturacion"
"Edit Items","Editar los art&iacute;culos"
"Edit Your Cart","Editar su carrito"
"Coupon code ""%s"" is not valid.","El c&oacute;digo del cup&oacute;n ""%s"" no es v&aacute;lido."
"Coupon code was applied successfully.","El c&oacute;digo del cup&oacute;n fue aplicado con &eacute;xito"
"Shopping Cart is Empty","El carrito de compras esta vac&iacute;o"
"Shipping method has not been selected yet","El m&eacute;todo de env&iacute;o no ha sido seleccionado todav&iacute;a"
"Payment method is not defined","El m&eacute;todo de pago no est&aacute; definido"
"Product does not exist","El producto no exixte"
"Default Shipping","Env&iacute;o por defecto"
"Submitting order information...","Enviando la informaci&oacute;n del Pedido…"
"Send to","Enviar a"
"Shipping to","Enviar a "
"Ship to Multiple Addresses","Enviar a direcciones m&uacute;ltiples"
"Ship to this address","Enviar a esta direcci&oacute;n"
"Ship to different address","Enviar a una direcci&oacute;n diferente"
"Load customer quote error","Error al cargar la cotizaci&oacute;n del cliente"
"Are you sure you would like to remove this item from the shopping cart?","Est&aacute; seguro de quitar este art&iacute;culo del carrito de compras?"
"State/Province","Estado/Provincia"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su Pedido y en breve recibir&aacute; un correo electr&oacute;nico con los detalles. Una vez que su Pedido sea despachado, recibir&aacute; otro correo con el n&uacute;mero de seguimiento del env&iacute;o."
"Estimate Shipping and Tax","Estimar env&iacute;o e impuestos"
"Easy access to your order history and status","F&aacute;cil acceso a su historial de compras y estado"
"Default Billing","Facturaci&oacute;n por defecto"
"Fax","Fax"
"Thank you for your purchase!","Gracias por su compra!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Hay <a href=""%s""><strong>%s art&iacute;culos</strong></a> en su carrito."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Hay <a href=""%s""><strong>1 art&iacute;culo</strong></a> en su carrito."
"There was an error processing your order. Please contact us or try agian later.","Hubo un error al procesar su Pedido. Por favor, cont&aacute;ctese con nosotros o intente nuevamente m&aacute;s tarde."
"Grouped product image","Imagen del producto agrupado"
"Configurable product image","Imagen del producto configurable"
"Billing Information - %s","Informaci&oacute;n  de facturaci&oacute;n - %s"
