"(eg: domain.com/identifier)","(ej: dominio.com/identificador)"
"Action","Acci&oacute;n"
"Add New Block","Agregar un nuevo bloque"
"Add New Page","Agregar una nueva p&aacute;gina"
"CMS Blocks","Bloques CSM"
"Static Blocks","Bloques est&aacute;ticos"
"Delete Block","Borrar el bloque"
"Delete Page","Borrar la p&aacute;gina"
"CMS","CMS"
"Content","Contenido"
"Description","Descripci&oacute;n"
"Disabled","Deshabilitado"
"Layout","Dise&ntilde;o"
"Custom Design","Dise&ntilde;o personalizado"
"Edit Block","Editar el bloque"
"Edit Block '%s'","Editar el bloque '%s'"
"Edit Page","Editar la p&aacute;gina"
"Edit Page '%s'","Editar p&aacute;gina '%s'"
"Block was successfully deleted","El bloque fue borrado con &eacute;xito"
"Block was successfully saved","El bloque fue grabado con &eacute;xito"
"Page Identifier cannot consist only of numbers.","El identificador de la p&aacute;gina no puede tener s&oacute;lo n&uacute;meros."
"Page Identifier for specified store already exist.","El identificador de la p&aacute;gina para la tienda especificada ya existe."
"This page no longer exists","Esta p&aacute;gina ya no existe"
"Status","Estado"
"Page Status","Estado de la p&aacute;gina"
"This block no longer exists","Este bloque ya no existe"
"Date Created","Fecha de creaci&oacute;n"
"Poll Manager","Gesti&oacute;n de votaciones"
"Manage Pages","Gestionar las p&aacute;ginas"
"Manage Blocks","Gestionar los bloques"
"Save Block","Guardar el bloque"
"Save Page","Guardar la p&aacute;gina"
"Enabled","Habilitado"
"Identifier","Identificador"
"SEF URL Identifier","Identificador URL de SEF"
"Unable to find a block to delete","Imposible encontrar un bloque para borrar"
"Unable to find a page to delete","Imposible encontrar una p&aacute;gina para borrar"
"Customer Tax Class Information","Informaci&oacute;n de la clase de impuesto al cliente"
"Product Tax Class Information","Informaci&oacute;n de la clase de impuesto al producto"
"Page Information","Informaci&oacute;n de la p&aacute;gina"
"Block Information","Informaci&oacute;n del bloque"
"General Information","Informaci&oacute;n general"
"Home","Inicio"
"Go to Home Page","Ir a la p&aacute;gina de inicio"
"Page was successfully deleted","La p&aacute;gina fue borrada con &eacute;xito"
"Page was successfully saved","La p&aacute;gina fue grabada con &eacute;xito"
"The page you are trying to save no longer exists","La p&aacute;gina que est&aacute; tratando de grabar ya no existe"
"Meta Data","Meta Datos"
"Meta Description","Meta Descripcci&oacute;n"
"Meta Keywords","Meta Palabras clave"
"Show breadcrumbs for CMS pages","Mostrar el camino de navegaci&oacute;n para p&aacute;ginas CMS"
"New Page","Nueva p&aacute;gina"
"New Block","Nuevo bloque"
"CMS No Route Page","P&aacute;gina de ""falta de ruta"" CMS"
"CMS Home Page","P&aacute;gina de inicio CMS"
"CMS Pages","P&aacute;ginas CMS"
"Keywords","Palabras clave"
"Preview","Previsualizar"
"Title","T&iacute;tulo"
"Page Title","T&iacute;tulo de la p&aacute;gina"
"Block Title","T&iacute;tulo del bloque"
"Custom Theme","Tema personalizado"
"Custom Theme From","Tema personalizado desde"
"Custom Theme To","Tema personalizado hasta"
"All countries","Todos los pa&iacute;ses"
"Last Modified","Ultima modificaci&oacute;n"
"Store View","Vista de la tienda"
"Layout Update XML","XML de actualizaci&oacute;n de Layout"
"Such a block identifier in selected store already exist.","Ya existe un identificador de bloque similar en la tienda seleccionada"
