"* Required Fields","* Campos requeridos"
"Comment","Comentario"
"Contact Us","Cont&aacute;ctenos"
"Contacts","Contactos"
"Email","Correo electr&oacute;nico"
"Submit","Enviar"
"Send Emails To","Enviar correos electr&oacute;nicos a"
"Contact Form","Formulario de contacto"
"Enable Contact Us","Habilitar Cont&aacute;ctenos"
"Unable to submit your request. Please, try again later","Imposible procesar su solicitud. Por favor, int&eacute;ntelo m&aacute;s tarde"
"Contact Information","Informaci&oacute;n de contacto"
"Name","Nombre"
"Email Options","Opciones de correo electr&oacute;nico"
"Email Template","Plantilla del correo electr&oacute;nico"
"Email Sender","Remitente del correo electr&oacute;nico"
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","Su consulta fue enviada y responderemos a la brevedad posible. Gracias por contactarse con nosotros."
"Telephone","Tel&eacute;fono"
