"%s already exists","%s ya existe"
"%s already exist","%s ya existe"
"* Required Fields","* Campos obligatorios"
"-- Please Select --","-- Por favor seleccione --"
"Invalid layout update handle","Actualización de layout inv&aacute;lida"
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Al borrar un sitio web no borrar&aacute; la informaci&oacute;n asociada con &eacute;l (ej. tiendas, productos, categor&iacute;as, etc) pero la vista de tienda no podr&aacute; ser restaurada. Se sugiere realizar una copia de seguridad de la base de datos antes de borrar."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Al borrar una  tienda no borrar&aacute; la informaci&oacute;n asociada con ella (ej. productos, categor&iacute;as, etc) pero la vista de tienda no podr&aacute; ser restaurada. Se sugiere realizar una copia de seguridad de la base de datos antes de borrar."
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Al borrar una vista de tienda no borrar&aacute; la informaci&oacute;n asociada con ella (ej. productos, categor&iacute;as, etc) pero la vista de tienda no podr&aacute; ser restaurada. Se sugiere realizar una copia de seguridad de la base de datos antes de borrar."
"Unknown scope ""%s""","Alcance desconocido ""%s"""
"Before modifying the store view code please make sure that it is not used in index.php","Antes de modificar el c&oacute;digo de la vista de tienda, aseg&uacute;rese de que no est&aacute; en uso en su index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de modificar el c&oacute;digo del sitio web, aseg&uacute;rese de que no est&aacute; en uso en su index.php"
"Please make sure your passwords match.","Aseg&uacute;rese de que sus contrase&ntilde;as coinciden."
"Customer support","Atenci&oacute;n al cliente"
"Advanced","Avanzado"
"Template Path Hints","Ayuda de rutas de la plantilla"
"Keep your eyes open for our special Back to School items and save A LOT!","¡Mant&eacute;n tus ojos abiertos para nuestros art&iacute;culos especiales del cole y ahorra MAS!"
"Invalid block: %s","Bloque inv&aacute;lido: %s"
"Delete","Borrar"
"Delete Website","Borrar el sitio web"
"Remove This Item","Borrar este art&iacute;culo"
"Delete Store","Borrar la tienda"
"Delete Store View","Borrar la vista de tienda"
"Clear All Items","Borrar todos los art&iacute;culos"
"Search","Buscar"
"Code","C&oacute;digo"
"Design Change","Cambio de dise&ntilde;o"
"This is a required field.","Campo requerido."
"Cancel","Cancelar"
"Root Category","Categor&iacute;a ra&iacute;z"
"Cookie Lifetime","Ciclo de vida de la cookie"
"Model class does not exist: %s","Clase de modelo no existe: %s"
"Comment","Comentario"
"Compare Items","Comparar art&iacute;culos"
"Compare Products","Comparar Productos"
"Compare Products - %d Items","Comparar Productos - %d Art&iacute;culos"
"SMTP settings (Windows server only)","Configuraciones de SMTP (s&oacute;lo para servidor Windows)"
"General Settings","Configuraciones generales"
"Contact Us","Cont&aacute;ctese con nosotros"
"General contact","Contacto general"
"Email","Correo electr&oacute;nico"
"Custom email 1","Correo electr&oacute;nico personalizado 1"
"Custom email 2","Correo electr&oacute;nico personalizado 2"
"Create Website","Crear un sitio web"
"Create Store","Crear una tienda"
"Create Store View","Crear una vista de tienda"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tareas programadas) - Todos los tiempos est&aacute;n en minutos"
"Leave empty for access from any location","Dejar en blanco para acceder desde cualquier lugar"
"Debug","Depurar"
"Developer","Desarrollador"
"Disable email communications","Deshabilitar comunicaciones por correo electr&oacute;nico"
"Disable modules output","Deshabilitar salida de m&oacute;dulos"
"Store Email Addresses","Direcciones de correo electr&oacute;nico de la tienda"
"Base directory","Directorio Base"
"Session files directory","Directorio de archivos de sesi&oacute;n"
"Skin directory","Directorio de Skin"
"Var (temporary files) directory","Directorio de Var (archivos temporarios)"
"Media files directory","Directorio para archivos de media"
"Code pools root directory","Directorio ra&iacute;z del c&oacute;digo de votaciones"
"Layout","Dise&ntilde;o"
"Design","Dise&ntilde;o"
"Custom Design","Dise&ntilde;o personalizado"
"Cookie Domain","Dominio de la cookie"
"Duplicate Of Template Code","Duplicado de c&oacute;digo de plantilla"
"Edit Design Change","Editar el cambio de dise&ntilde;o"
"Edit Website","Editar el sitio web"
"Edit Store","Editar la tienda"
"Edit Store View","Editar la vista de tienda"
"Invalid messages storage ""%s"" for layout messages initialization","El almacenamiento de mensajes es inv&aacute;lido ""%s"" para iniciaci&oacute;n de mensajes de layout"
"Controller file was loaded but class does not exist","El archivo controlador fue cargado pero la clase no existe"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","El argumento para actualizar el layout es inv&aacute;lido. Se esperaba Mage_Core_Model_Layout_Element"
"Block with name ""%s"" already exists","El bloque con el nombre ""%s"" ya existe"
"Invalid transactional email code: ","El c&oacute;digo de correo electr&oacute;nico transaccional es inv&aacute;lido:"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","El c&oacute;digo de la tienda debe contener s&oacute;lo letras (a-z), n&uacute;meros (0-9) o guiones bajos(_), el primer car&aacute;cter debe ser una letra."
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","El c&oacute;digo del sitio web debe contener s&oacute;lo letras (a-z), n&uacute;meros (0-9) o guiones bajos(_), el primer car&aacute;cter debe ser una letra"
"Invalid block name to set child %s: %s","El nombre de bloque para configurar child es inv&aacute;lido %s: %s"
"Model collection resource name is not defined","El nombre del recurso de la colecci&oacute;n de modelo no est&aacute; definido"
"Resource is not set","El recurso no est&aacute; configurado"
"Website was successfully deleted.","El sitio web fue borrado con &eacute;xito."
"Website was successfully saved","El sitio web fue guardado con &eacute;xito."
"Website not exists","El sitio web no existe"
"Invalid block type: %s","El tipo de bloque es inv&aacute;lido: %s"
"Invalid base dir type specified: %s","El tipo de directorio base especificado es inv&aacute;lido: %s"
"Invalid base url type","El tipo de URL base es inv&aacute;lido"
"Submit","Enviar"
"Error while saving. Please try again later.","Error al guardar. Por favor, intente m&aacute;s tarde."
"Error in file: ""%s"" - %s","Error en el archivo: ""%s"" - %s"
"Are you sure?","Est&aacute; seguro?"
"This category only","Esta categor&iacute;a solamente"
"This category and its child categories","Esta categor&iacute;a y sus categor&iacute;as descendientes"
"This category and its products","Esta categor&iacute;a y sus productos"
"Status","Estado"
"Date From","Fecha desde"
"Date To","Fecha hasta"
"General","General"
"Session Cookie management","Gesti&oacute;n de las sesiones de cookie"
"Manage Stores","Gestionar tiendas"
"Global","Global"
