"* Required Fields","* Campos requeridos"
"You have placed no products yet.","A&uacute;n no ha colocado ning&uacute;n producto."
"You have placed no orders yet.","A&uacute;n no ha realizado ning&uacute;n Pedido."
"Customer Login","Acceso del cliente"
"Action","Acci&oacute;n"
"Update","Actualizar"
"You are currently subscribed to 'General Subscription'.","Actualmente est&aacute; suscripto a la 'Suscripci&oacute;n General'."
"You are currently subscribed to our newsletter","Actualmente est&aacute; suscripto a nuestro bolet&iacute;n de noticias"
"You are currently subscribed to our newsletter.","Actualmente est&aacute; suscripto a nuestro bolet&iacute;n de noticias"
"You are currently not subscribed to any newsletter.","Actualmente no est&aacute; suscripto a ning&uacute;n bolet&iacute;n de noticias."
"You are currently not subscribed to our newsletter","Actualmente no est&aacute; suscripto a nuestro bolet&iacute;n de noticias."
"Admin","Administraci&oacute;n"
"Added From","Agregado desde"
"Add New Customer","Agregar un nuevo cliente"
"Add New Customer Group","Agregar un nuevo grupo de clientes"
"Add New Address","Agregar una nueva direcci&oacute;n"
"To Cart","Al carrito"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podr&aacute; realizar el proceso de compra m&aacute;s r&aacute;pidamente, indicar un env&iacute;o a m&uacute;ltiples direcciones, ver y hacer un seguimiento de sus Pedidos y mucho m&aacute;s. "
"Last Name","Apellido"
"Missing lastname, skipping the record","Apellido perdido, se omite el registro"
"Approved","Aprobado"
"Sign up for our newsletter","Apuntarse a nuestro bolet&iacute;n de noticias"
"Sign Up for Newsletter","Apuntarse al bolet&iacute;n de noticias"
"Assign a customer group","Asignar un grupo de clientes"
"Subject","Asunto"
"Newsletter","Bolet&iacute;n de noticias"
"Newsletter Received","Bolet&iacute;n de noticias recibido"
"Newsletters","Boletines de noticias"
"Delete","Borrar"
"Delete Customer","Borrar el cliente"
"Delete Customer Group","Borrar el grupo de clientes"
"Delete Address","Borrar la direcci&oacute;n"
"SKU","C&oacute;digo"
"ZIP","C&oacute;digo postal"
"ZIP/Post Code","C&oacute;digo postal"
"ZIP/Postal Code","C&oacute;digo postal"
"Zip/Postal Code","C&oacute;digo postal"
"Street Address","Calle"
"Street Address 2","Calle 2"
"Change Password","Cambiar la contrase&ntilde;a de la cuenta"
"Change Account Password","Cambiar la contrase&ntilde;a de la cuenta"
"Change Shipping Address","Cambiar la direcci&oacute;n de env&iacute;o"
"Change Billing Address","Cambiar la direcci&oacute;n de facturaci&oacute;n"
"Cancel","Cancelar"
"Unsubscribe from newsletter","Cancelar la suscripci&oacute;n al Bolet&iacute;n de noticias"
"Qty","Cant."
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de compras - %d art&iacute;culo(s)"
"Lifetime Sales","Ciclo de ventas"
"City","Ciudad"
"Tax Class","Clase del impuesto"
"Tax class","Clase del impuesto"
"Customer","Cliente"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Online Customers","Clientes conectados"
"Registered Customers","Clientes registrados"
"Product Reviews","Comentarios del producto"
"Company","Compa&ntilde;&iacute;a"
"Share Customer Accounts","Compartir las cuentas de clientes"
"Bought From","Comprado desde"
"Purchased at","Comprado el"
"Purchase On","Comprado en "
"Online","Conectado"
"Config","Configuraci&oacute;n"
"Customer Configuration","Configuraci&oacute;n del cliente"
"Set as Default Shipping Address","Configurar como direcci&oacute;n de env&iacute;o por defecto"
"Set as Default Billing Address","Configurar como direcci&oacute;n de facturaci&oacute;n por defecto"
"Confirm Password","Confirmar la contrase&ntilde;a"
"Confirm New Password","Confirmar la nueva contrase&ntilde;a"
"Invalid attribute set specified, skipping the record","Conjunto de atributo inv&aacute;lido, se omite el registro"
"Continue Shopping","Continuar comprando"
"Password","Contrase&ntilde;a"
"Current Password","Contrase&ntilde;a actual"
"Email","Correo electr&oacute;nico"
"Missing email, skipping the record","Correo electr&oacute;nico perdido, se omite el registro"
"Create New Account Options","Crear nuevas opciones para las cuentas"
"Create Order","Crear un Pedido"
"Create an Account","Crear una cuenta"
"Create New Customer Account","Crear una nueva cuenta de cliente"
"CSV","CSV"
"Days in Wishlist","D&iacute;as en la lista de art&iacute;culos de inter&eacute;s"
"Offline","Desconectado"
"Unknown","Desconocido"
"User description","Descripci&oacute;n del usuario"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde Mi Cuenta usted puede ver un resumen de sus actividades recientes y actualizar la informaci&oacute;n de su cuenta. Seleccione un enlace inferior para ver o editar informaci&oacute;n."
"Disabled","Deshabilitado"
"Details","Detalles"
"Paused","Detenido"
"Refunded","Devuelto"
"Address","Direcci&oacute;n"
"Email Address","Direcci&oacute;n de correo electr&oacute;nico"
"Default Shipping Address","Direcci&oacute;n de env&iacute;o por defecto"
"Primary Shipping Address","Direcci&oacute;n de env&iacute;o principal"
"Default Billing Address","Direcci&oacute;n de facturaci&oacute;n por defecto"
"Primary Billing Address","Direcci&oacute;n de facturaci&oacute;n principal"
"IP Address","Direcci&oacute;n IP"
"Addresses","Direcciones"
"Customer Addresses","Direcciones del cliente"
"Default Addresses","Direcciones por defecto"
"Default Email Domain","Dominio de correo electr&oacute;nico por defecto"
"Edit","Editar"
"Edit Group","Editar el grupo"
"Edit Customer Group ""%s""","Editar el grupo de clientes ""%s"""
"Edit Address Entry","Editar la direcci&oacute;n"
"Edit Address","Editar la direcci&oacute;n"
