"* Required Fields","* Campos Requeridos"
"Add","Agregar"
"Add Gift Message","Agregar mensaje de regalo"
"Item %d of %d","Art&iacute;culo %d de %d"
"Cancel","Cancelar"
"Close","Cerrar"
"From","De"
"Edit","Editar"
"Edit Gift Message","Editar el mensaje de regalo"
"Gift message has been successfully saved","El mensaje de regalo fue guardado con &eacute;xito"
"Enter a gift message for each item in your order.","Escribir un mensaje de regalo para cada art&iacute;culo de su Pedido."
"Enter a gift message for entire order.","Escribir un mensaje de regalo para el Pedido completo."
"Enter a gift message for this address.","Escribir un mensaje de regalo para esta direcci&oacute;n."
"Are you sure?","Est&aacute; seguro?"
"Save","Guardar"
"Save Gift Message","Guardar el mensaje de regalo"
"Error while saving gift message","Hubo un error al guardar el mensaje de regalo"
"Check this checkbox if you want to add gift messages.","Marque esta casilla si quiere agregar mensajes de regalo."
"Check this checkbox if you want to add gift messages to your items.","Marque la casilla si quiere agregar mensajes de regalo a sus art&iacute;culos."
"Message","Mensaje"
"Gift Message","Mensaje de regalo"
"Gift Messages","Mensajes de regalo"
"No","No"
"To","Para"
"Allow Gift Messages on Order Level","Permitir mensajes de regalo a nivel del Pedido"
"Allow Gift Messages for Order Items","Permitir mensajes de regalo para los art&iacute;culos del Pedido"
"You can leave a box blank if you don't wish to add a gift message for the item.","Puede dejar en blanco si no quiere agregar un mensaje de regalo para el art&iacute;culo"
"You can leave a box blank if you don't wish to add a gift message for whole order.","Puede dejar en blanco si no quiere agregar un mensaje de regalo para el Pedido completo"
"You can leave a box blank if you don't wish to add a gift message for this address.","Puede dejar en blanco si no quiere agregar un mensaje de regalo para esta direcci&oacute;n"
"Remove","Quitar"
"Yes","S&iacute;"
"Your gift message successfully removed","Su mensaje de regalo borrado con &eacute;xito"
"Your gift message successfully saved","Su mensaje de regalo guardado con &eacute;xito"
"Your gift message has been successfully removed","Su mensaje de regalo ha sido borrado con &eacute;xito"
"Your gift message has been successfully saved","Su mensaje de regalo ha sido guardado con &eacute;xito"
"Do you have any gift items in your order?","Tiene alg&uacute;n art&iacute;culo de regalo en su Pedido?"
"Unknown entity type","Tipo desconocido de entidad"
"Use config","Usar configuraci&oacute;n"
