"* Select shipping method","* Seleccione el m&eacute;todo de env&iacute;o"
"Google API","API de Google"
"Virtual item to reflect discount total","Art&iacute;culo virtual para reflejar el descuento total"
"Auto-generated from GoogleCheckout Charge","Autogenerado desde el cargo de Googlecheckout"
"Google Authorization:","Autorizaci&oacute;n de Google:"
"Expiration: %s","Caducidad: %s"
"Google Checkout Shipping - Merchant Calculated","Caja de env&iacute;o de Google  - calculado el comercio"
"Google Checkout Shipping - Carrier Calculated","Caja de env&iacute;o de Google - calculado el transporte"
"Google Checkout Shipping - Flat Rate","Caja de env&iacute;o de Google - tarifa plana"
"Google Checkout","Caja de Google"
"Google Checkout: %s","Caja de Google: %s"
"Google order status change:","Cambiar el estado del Pedido de Google:"
"Amount: %s","Cantidad: %s"
"Google Charge:","Cargo de Google:"
"CC Partial: xxxx-%s","CC Parcial: xxxx-%s"
"Merchant Key","Clave del Comercio"
"Fulfillment: %s -> %s","Cumplimiento: %s -> %s"
"Debug","Depurar"
"Cart Discount","Descuento del carrito"
"IP Address: %s","Direcci&oacute;n IP: %s"
"Buyer account age: %s days","Edad de la cuenta del comprador: %s d&iacute;as"
"Eligible for protection: %s","Elegible para protecci&oacute;n: %s"
"Sandbox","Entorno protegido"
"AVS Status: %s","Estado de AVS: %s"
"CID Status: %s","Estado de CID: %s"
"Checkout Image Style","Estilo de la imagen de la Caja"
"Invoice auto-created: %s","Factura auto-creada: %s"
"Financial: %s -> %s","Financiero: %s -> %s"
"Enable","Habilitar"
"Merchant ID","ID del Comercio"
"Google Buyer Id: %s","ID del comprador en Google: %s"
"Google Risk Information:","Informaci&oacute;n de riesgo de Google:"
"Google Order Number: %s","N&uacute;mero de Pedido de Google: %s"
"New order status","Nuevo estado del Pedido"
"Hide Cart Contents During Checkout","Ocultar los contenidos del carrito durante la compra"
"Optional, leave empty for home page.","Opcional, deje vac&iacute;o para la p&aacute;gina de inicio."
"Default price:","Precio por defecto:"
"Google Refund:","Reemboloso de Google:"
"Total Charged: %s","Total cargado: %s"
"Total Refunded: %s","Total reembolsado: %s"
"Location","Ubicaci&oacute;n"
"Latest Charge: %s","Ultimo cargo: %s"
"Latest Refund: %s","Ultimo reembolso: %s"
"Continue Shopping URL","URL para continuar comprando"
