"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below."," Si ha descargado el paquete completo o ha instalado Magento a trav&eacute;s de SVN, deber&iacute;a omitir los paquetes de instalaci&oacute;n y validaci&oacute;n, presionando el bot&oacute;n inferior."
"(Make sure you keep it in a safe place.)","(Aseg&uacute;rese de guardarlo en un lugar seguro.)"
"(Optional. Leave blank for no prefix)","(Es opcional. Deje en blanco si no desea utilizar un prefijo)"
"(ver. %s)","(Ver. %s)"
"Setting preferred state to: %s","Ajustar el estado preferido a: %s"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativamente puede utilizar el m&eacute;todo 'Descargas y Actualizaciones Manuales'."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de ir a su tienda, por favor tome nota de su clave de encriptaci&oacute;n (Magento la usa para encriptar contrase&ntilde;as, tarjetas de cr&eacute;dito y m&aacute;s)."
"Last Name","Apellido"
"Magento Installation Wizard","Asistente de instalaci&oacute;n de Magento"
"Help Us to Keep Magento Healthy","Ay&uacute;denos a mantener saludable a Magento"
"Secure Base URL","Base URL segura"
"Welcome to Magento's Installation Wizard","Bienvenido al asistente de instalaci&oacute;n de Magento"
"Required Fields","Campos requeridos"
"Encryption Key","Clave de encriptaci&oacute;n"
"Connection","Conexi&oacute;n"
"Database Connection","Conexi&oacute;n a la base de datos"
"Configuration","Configuraci&oacute;n"
"Locale settings","Configuraciones locales"
"Password Confirmation","Confirmaci&oacute;n de la contrase&ntilde;a"
"Confirm Password","Confirmar contrase&ntilde;a"
"Continue","Continuar"
"Continue Full Download / SVN Installation","Continuar descarga completa / instalaci&oacute;n SVN "
"Continue After Manual Download","Continuar despu&eacute;s de la descarga manual"
"Password","Contrase&ntilde;a"
"Database user password","Contrase&ntilde;a de la base de datos"
"User Password","Contrase&ntilde;a de usuario"
"Email","Correo electr&oacute;nico"
"Create Admin Account","Crear una cuenta de Administraci&oacute;n"
"After successfull installation please click the button below.","Cuando la instalaci&oacute;n haya finalizado con &eacute;xito, presione el bot&oacute;n inferior."
"Full Download / SVN Installation","Descarga completa / Instalaci&oacute;n SVN"
"Downloading and installing Magento, please wait...","Descargando e instalando Magento, por favor espere..."
"Download","Descargar"
"Download Magento Core Modules and Updates","Descargar los m&oacute;dulos del n&uacute;cleo de Magento y las actualizaciones"
"Manual Downloads and Upgrades","Descargas y Actualizaciones manuales"
"Email Address","Direcci&oacute;n de correo electr&oacute;nico"
"Run admin interface with SSL","Ejecutar la interfase de administraci&oacute;n con SSL"
"Run this in your shell from Magento root folder:","Ejecute &eacute;sto en su motor desde la carpeta ra&iacute;z de Magento:"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","El prefijo de las tablas debe contener letras (a-z), n&uacute;meros (0-9) o gui&oacute;n bajo(_). El primer caracter debe de ser una letra"
"Choose this if you would like to test frontend and backend functionality.","Elija esto si quiere probar la funcionalidad de frontend y de backend"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","En otros casos necesitar&aacute; asignar permisos de escritura a los archivos de Magento para el usuario bajo el cual est&aacute; ejecut&aacute;ndose el proceso del servidor web."
"Database connection error","Error de la conexi&oacute;n con la base de datos"
"This Url is invalid","Esta URL es inv&aacute;lida"
"Preferred stability: %s","Estabilidad preferida: %s"
"I agree to the above terms and conditions","Estoy de acuerdo con los t&eacute;rminos y condiciones anteriores"
"Package Management through the Web","Gesti&oacute;n de paquetes a trav&eacute;s de la Web"
"Installation Guide","Gu&iacute;a de instalaci&oacute;n"
"Enable this option only if you have SSL available.","Habilite esta opcion s&oacute;lo si tiene SSL disponible."
"Host","Host"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Hubo un problema al instalar los paquetes de Magento. Por favor, lea el registro, corrija los errores e intente de nuevo."
"Login Information","Informaci&oacute;n de acceso"
"Personal Information","Informaci&oacute;n personal"
"Report All Bugs","Informar las fallas"
"Installation","Instalaci&oacute;n"
"Go to Backend","Ir al Backend"
"Go to Frontend","ir al Frontend"
"Path ""%s"" must be writable","La carpeta ""%s"" debe tener permisos de escritura"
"PHP Extension ""%s"" must be loaded","La extension PHP ""%s"" debe cargarse"
"PHP Extension '%s' loaded","La extensionPHP '%s' cargada"
"Url ""%s"" is invalid","La Url ""%s"" es inv&aacute;lida"
"Url ""%s"" is not accessible","La Url ""%s"" no es accesible"
"Locale","Local"
"Magento","Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento es una marca registrada de Irubin Consulting Inc. DBA Varien. Derechos reservados &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento usa esta clave para encriptar contrase&ntilde;as, tarjetas de cr&eacute;dito y m&aacute;s. Si deja este campo vac&iacute;o, Magento crear&aacute; una clave de encriptaci&oacute;n y se la mostrar&aacute; en la pr&oacute;xima p&aacute;gina."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marque esta casilla s&oacute;lo si no es posible validar autom&aacute;ticamente URL seguras. Por ejemplo si se requiere una autentificaci&oacute;n HTTP."
"Check out our","Mire nuestro"
"Default Currency","Moneda por defecto"
"First Name","Nombre"
"Database Name","Nombre de la base de datos"
"Username","Nombre de usuario"
"User Name","Nombre de usuario"
"Database host","Nombre del host de la base de datos"
"Database user name","Nombre del usuario de la base de datos"
"Skip Secure URL validation before next step","Omitir la valdacion de URL seguro antes del siguiente paso"
"Web access options","Opciones de acceso Web"
"Currently this is the most stable state available for Magento packages.","Por el momento, &eacute;sta es la version disponible m&aacute;s estable de paquetes de Magento."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor aseg&uacute;rese de que <code>mod_rewrite</code> est&aacute; habilitado en la configuraci&oacute;n de Apache."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Por favor tome en cuenta que s&oacute;lo los motores UNIX, Linux y OSX se toleran actualmente. Para Windows use la opci&oacute;n '%s'."
"Please set all required settings before clicking Continue","Por favor, establezca todos los ajustes necesarios antes de presionar Continuar"
"Please note that it is much less stable than beta.","Por favor, tome en cuanta que es mucho menos estable que beta."
"Tables Prefix","Prefijo de las tablas"
