"Action","Acci&oacute;n"
"Add to Queue","Agregar a la cola"
"Add New Template","Agregar una nueva plantilla"
"Customer Lastname","Apellido del cliente"
"Subject","Asunto"
"Queue Subject","Asunto de la cola de tareas"
"Template Subject","Asunto de la plantilla"
"Newsletter","Bolet&iacute;n de noticias"
"Queue Newsletter","Bolet&iacute;n de noticias en cola"
"Delete Template","Borrar la plantilla"
"Delete Selected Problems","Borrar los problemas seleccionados"
"Invalid subscription confirmation code","C&oacute;digo de confirmaci&oacute;n de suscripci&oacute;n inv&aacute;lido"
"Error Code","C&oacute;digo del error"
"Toggle Editor","Cambiar el editor"
"Selected problem subscribers successfully unsubscribed","Cancelaci&oacute;n de suscripci&oacute;n exitosa de los suscriptos problem&aacute;ticos seleccionados"
"Cancelled","Cancelado"
"Cancel","Cancelar"
"Unsubscribe","Cancelar suscripci&oacute;n"
"Unsubscribe Selected","Cancelar suscripci&oacute;n de los seleccionados"
"Customer","Cliente"
"Newsletter Queue","Cola de tareas del Bolet&iacute;n de noticias"
"Start","Comenzar"
"Newsletter subscription confirmation","Confirmaci&oacute;n de la suscripci&oacute;n al Bolet&iacute;n de noticias"
"Template Content","Contenido de la plantilla"
"Resume","Continuar"
"Convert to Plain Text","Convertir a texto plano"
" Copy","Copiar"
"Email","Correo electr&oacute;nico"
"Sender Email","Correo electr&oacute;nico del remitente"
"Create Newsletter Template","Crear una plantilla para el bolet&iacute;n de noticias"
"Need to Confirm","Debe confirmar"
"Return Html Version","Devolver Versi&oacute;n de HTML"
"Duplicate of template code","Duplicado del c&oacute;digo de la plantilla"
"Edit Newsletter","Editar el Bolet&iacute;n de noticias"
"Edit Queue","Editar la cola de tareas"
"Edit Template","Editar la plantilla"
"Edit Newsletter Template","Editar la plantilla del Bolet&iacute;n de noticias"
"Form was filled incorrectly","El formulario fue completado incorrectamente"
"Invalid subscription ID","El ID de la suscripci&oacute;n es inv&aacute;lido"
"Invalid subscriber ID","El ID del suscriptor es inv&aacute;lido"
"Sent","Enviado"
"Sending","Enviando"
"Are you sure that you want to delete this template?","Est&aacute; seguro de borrar esta plantilla?"
"Do you really want to cancel the queue?","Est&aacute; seguro de cancelar la cola de tareas?"
"Are you sure that you want to strip all tags?","Est&aacute; seguro de desaplicar todas las etiquetas?"
"Status","Estado"
"Date Updated","Fecha actualizada"
"Date Added","Fecha agregada"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Thank you for your subscription","Gracias por suscribirse"
"Save As","Guardar como"
"Save Newsletter","Guardar el Bolet&iacute;n de noticias"
"Save Template","Guardar la plantilla"
"Save And Resume","Guardar y continuar"
"Newsletter unsubscription success","Ha cancelado con &eacute;xito su suscripci&oacute;n al Bolet&iacute;n de noticias"
"You have been successfully unsubscribed.","Ha cancelado su suscripci&oacute;n con &eacute;xito."
"There was an error while saving your subscription","Hubo un error al guardar su suscripci&oacute;n"
