"Merchant Login","Acceso del comerciante"
"Payment Action","Acci&oacute;n de pago"
"Authorize.net","Authorize.net"
"Authorize and Capture","Autorizar y capturar"
"Transaction key","Clave de la transacci&oacute;n"
"Password","Contrase&ntilde;a"
"Email customer","Correo electr&oacute;nico del cliente"
"Merchant's email","Correo electr&oacute;nico del comerciante"
"Debug","Depurar"
"VERBOSITY","DETALLE EXTENSIVO"
"Payment authorization error.","Error de autorizaci&oacute;n del pago."
"Error in refunding the payment","Error en el reembolso del pago"
"Error in refunding the payment.","Error en el reembolso del pago."
"Error in authorizing the payment","Error en la autorizaci&oacute;n del pago"
"Error in capturing the payment","Error en la captura del pago"
"Gateway request error: %s","Error en la petici&oacute;n de acceso: %s"
"Error in retreiving the transaction","Error en la recuperaci&oacute;n de la transacci&oacute;n"
"Fraud order status","Estado de Pedido fraudulento"
"Enabled","Habilitado"
"API Login ID","ID de acceso API"
"Invalid transaction id","ID de transacci&oacute;n inv&aacute;lido"
"Invalid amount for authorization","Importe inv&aacute;lido para la autorizaci&oacute;n"
"Invalid amount for authorization.","Importe inv&aacute;lido para la autorizaci&oacute;n."
"Payment authorization transaction has been declined.","La transacci&oacute;n de autorizaci&oacute;n del pago ha sido rechazada."
"Test mode","Modo de prueba"
"New order status","Nuevo estado del Pedido"
"TENDER","OFERTA"
"Sort order","Orden de clasificaci&oacute;n"
"Payment from applicable countries","Pago desde los pa&iacute;ses aplicables"
"Payment from Specific countries","Pago desde los pa&iacute;ses especificados"
"PayflowPro","PayflowPro ()"
"Authorize Only","S&oacute;lo autorizar"
"Partner","Socio"
"Title","T&iacute;tulo"
"Credit Card Types","Tipos de tarjeta de cr&eacute;dito"
"Voided transaction","Transacci&oacute;n nula"
"URL","URL"
"User","Usuario"
"Credit Card Verification","Verificaci&oacute;n de la tarjeta de cr&eacute;dito"
