"Payment Action","Acci&oacute;n de pago"
"Update Shipping Method","Actualizar el m&eacute;todo de env&iacute;o"
"Amex","Amex"
"Items in Your Shopping Cart","Art&iacute;culos en su carrito de compras"
"Authorization","Autorizaci&oacute;n"
"Authorize and Capture","Autorizar y capturar"
"Selected currency code (","C&oacute;digo de moneda seleccionado ("
"Paypal Checkout","Caja de Paypal"
"Change Payment Method","Cambiar el m&eacute;todo de pago"
"Change Shipping Address","Cambiar la direcci&oacute;n de entrega"
"Qty","Cantidad"
"API Password","Contrase&ntilde;a API"
"Business Account","Cuenta de empresa"
"PayPal Uk Account","Cuenta PayPal Reino Unido (UK)"
"PayPal Accounts","Cuentas de PayPal"
"Discover","Descubrir"
"Shipping Address","Direcci&oacute;n de env&iacute;o"
"Edit Shopping Cart","Editar el carrito de compras"
"Order total amount does not match paypal gross total amount","El importe total del Pedido no coincide con el importe total bruto de paypal"
"Submitting order information...","Enviando informaci&oacute;n del Pedido..."
"Unknown PayPal API error: %s","Error desconocido de PayPal API: %s"
"Error in refunding the payment","Error en el reembolso del pago"
"Error in creating an invoice","Error en la creaci&oacute;n de la factura"
"Invoice ","Factura "
"Expiration Date","Fecha de caducidad"
"Expiration Date: %s/%s","Fecha de caducidad: %s/%s"
"Start Date","Fecha de inicio"
"Switch/Solo card start Date: %s/%s","Fecha de inicio de la tarjeta Switch/Solo"
"API Signature","Firma API"
"There was an error connecting to the Paypal server: %s","Ha habido un error al conectar con el servidor de PayPal: %s"
"There has been an error processing your payment. Please try later or contact us for help.","Ha habido un error en el procesamiento de su pago. Por favor int&eacute;ntelo m&aacute;s tarde o cont&aacute;ctese con nosotros para obtener ayuda."
"There was an error during communication with Paypal: %s - %s","Ha habido un error en la comunicaci&oacute;n con PayPal: %s - %s"
"Problem during communication with PayPal","Ha ocurrido un problema en la comunicaci&oacute;n con PayPal"
"Enabled","Habilitado"
"Proxy Host","Host Proxi"
"Invalid transaction id","ID de transacci&oacute;n inv&aacute;lido"
"Debug Flag","Indicador de depuraci&oacute;n"
"Sandbox Flag","Indicador de modo de entorno protegido"
"Billing Information","Informaci&oacute;n de facturaci&oacute;n"
"Shipping Information","Informaci&oacute;n del env&iacute;o"
"Paypal IPN Invalid.","IPN de Paypal err&oacute;neo."
"Shipping Method","M&eacute;todo de env&iacute;o"
"Payment Method","M&eacute;todo de pago"
"MasterCard","MasterCard"
"Credit Card Number","N&uacute;mero de la tarjeta de cr&eacute;dito"
"Credit Card Number: xxxx-%s","N&uacute;mero de tarjeta de cr&eacute;dito: xxxx-%s"
"Switch/Solo card issue number: %s","N&uacute;mero de tarjeta Switch/Solo"
"Issue Number","N&uacute;mero de venta"
"Card Verification Number","N&uacute;mero de verificaci&oacute;n de la tarjeta"
"N/A","N/D"
"Business Name","Nombre de la empresa"
"API User Name","Nombre de usuario API"
"Product Name","Nombre del producto"
"Name on Card","Nombre en la tarjeta"
"Name on the Card: %s","Nombre en la tarjeta: %s"
"New order status","Nuevo estado del Pedido"
"Sort order","Orden de clasificaci&oacute;n"
"Payment from applicable countries","Pago desde los pa&iacute;ses aplicables"
"Payment from Specific countries","Pago desde pa&iacute;ses espec&iacute;ficos"
"PayPal Direct (Website Payments Pro)","PayPal Direct (con Website Payments Pro)"
"Paypal Express (Website Payments Pro)","Paypal Express (con Website Payments Pro)"
"PayPal Standard (Website Payments Standard)","PayPal Standard (con Website Payments Standard)"
"Order","Pedido"
"Sorry, no quotes are available for this order at this time.","Perd&oacute;n, no hay cotizaciones disponibles para este Pedido en este momento."
"Please select a valid shipping method","Por favor seleccione un m&eacute;todo de env&iacute;o v&aacute;lido"
"Please select a shipping method...","Por favor seleccione un m&eacute;todo de env&iacute;o..."
"Price","Precio"
"Proxy Port","Puerto Proxy"
"What is this?","Qu&eacute; es esto?"
"Place an Order","Realizar un Pedido"
"Review Order","Revisar el Pedido"
"You will be redirected to paypal in a few seconds.","Ser&aacute; redirigido a la p&aacute;gina web de PayPal en unos segundos."
"Switch/Solo Only","Solamente Switch/Solo"
"Your billing address will be ignored and you will be redirected to PayPal UK website","Su direcci&oacute;n de pago ser&aacute; ignorada y ser&aacute; redirigido a la p&aacute;gina web de PayPal UK"
"Subtotal","Subtotal"
"Title","T&iacute;tulo"
"Type","Tipo"
"Credit Card Type","Tipo de tarjeta de cr&eacute;dito"
"Credit Card Type: %s","Tipo de tarjeta de cr&eacute;dito: %s"
"Transaction Type","Tipo de transacci&oacute;n"
"Credit Card Types","Tipos de tarjeta de cr&eacute;dito"
"Paypal Logo Image URL(150x150)","URL de la imagen del logo Paypal(150x150)"
"Use Proxy","Utilizar Proxy"
"Sale","Venta"
"Received IPN verification","Verificaci&oacute;n IPN recibida"
"Visa","Visa"
"Website Payments Pro (Express, Direct)","Website Payments Pro (con Express, Direct)"
"Website Payments Standard","Website Payments Standard ()"
