"Open","Abierta"
"Actions","Acciones"
"Add New Poll","Agregar una nueva encuesta"
"Add New Answer","Agregar una nueva respuesta"
"Add Answer","Agregar una respuesta"
"Delete","Borrar"
"Delete Poll","Borrar la encuesta"
"Delete Answer","Borrar la respuesta"
"Closed","Cerrada"
"Votes Count","Conteo de votos"
"Votes Count:","Conteo de votos:"
"Edit Poll '%s'","Editar encuesta '%s'"
"Edit Poll Answer","Editar las respuestas de la encuesta"
"Edit Answer '%s'","Editar respuesta '%s'"
"Poll with the same question","Encuesta con la misma pregunta"
"Community Poll","Encuesta de la comunidad"
"Polls","Encuestas"
"Are you sure you want to delete it?","Est&aacute; seguro de borrarlo?"
"Status","Estado"
"Date Closed","Fecha de cierre"
"Date Posted","Fecha de la publicaci&oacute;n"
"Poll Manager","Gestor de encuestas"
"Save Poll","Guardar la encuesta"
"Save Answer","Guardar la respuesta"
"ID","ID"
"Unable to find answer to delete.","Imposible encontrar una respuesta para borrar."
"Poll Information","Informaci&oacute;n de la encuesta"
"Poll information","Informaci&oacute;n de la encuesta"
"Poll not exists","La encuesta no existe"
"Answer was successfully saved","La respuesta fue guardada con &eacute;xito"
"Number of Responses","N&uacute;mero de respuestas"
"New Poll","Nueva encuesta"
"Poll Question","Pregunta de la encuesta"
"Answer with the same title in this poll","Respuesta con el mismo t&iacute;tulo en esta encuesta"
"Invalid Answer","Respuesta inv&aacute;lida"
"Assigned Answers","Respuestas asignadas"
"Poll Answers","Respuestas de la encuesta"
"Answer Title","T&iacute;tulo de la respuesta"
"Answer Title:","T&iacute;tulo de la respuesta:"
"Visible In","Visible en"
"Vote","Votar"
