"Add Recipient","Agregar un recipiente"
"Some emails was not sent","Algunos correos no fueron enviados"
"Some problems with data.","Algunos problemas con los datos."
"Email:","Correo electr&oacute;nico:"
"Email Address","Direcci&oacute;n de correo electr&oacute;nico"
"Email Address:","Direcci&oacute;n de correo electr&oacute;nico:"
"Email to a Friend","Enviar correo electr&oacute;nico a un amigo"
"Send email","Enviar el correo"
"Send product to a friend","Enviar un correo sobre este producto a un amigo"
"Enabled","Habilitado"
"Limit Sending By","Limitar el env&iacute;o por"
"Max Products Sent in 1 Hour","M&aacute;xima cantidad de productos enviados en 1 hora"
"Maximum %d email addresses allowed.","M&aacute;ximo de %d direcciones de correo permitidas."
"Max Recipients","M&aacute;ximos recipientes"
"Message:","Mensaje:"
"You cannot send more than %d times in an hour","No puede enviar m&aacute;s de %d veces en una hora"
"You cannot email this product to a friend","No puede enviar un correo sobre este producto a un amigo"
"Name","Nombre"
"Name:","Nombre:"
"Allow for Guests","Permitir para Invitados"
"Email templates","Plantillas de correo electr&oacute;nico"
"Remove Email","Quitar direcci&oacute;n de correo"
"Recipient:","Recipiente:"
"Sender:","Remitente:"
"Link to a friend was sent.","Se envi&oacute; el enlace a su amigo"
"Select email template","Seleccionar una plantilla de correo"
