"# of Uses","# de usos"
"Action","Acci&oacute;n"
"Actions","Acciones"
"Add to Wishlist","Agregar a la lista de art&iacute;culos de inter&eacute;s"
"Add to Cart","Agregar al carrito"
"Add Tags","Agregar etiquetas"
"Add Your Tags:","Agregar sus etiquetas:"
"Add New Tag","Agregar una nueva etiqueta"
"Last Name","Apellido"
"Approved","Aprobado"
"Delete","Borrar"
"Delete Tag","Borrar la etiqueta"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Buscar resultados para '%s' (<a href='%s'>RSS</a>)"
"SKU","C&oacute;digo"
"Product SKU","C&oacute;digo del producto"
"ZIP/Post Code","C&oacute;digo postal"
"Change status","Cambiar el estado"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Email","Correo electr&oacute;nico"
"CSV","CSV"
"Grid","Cuadr&iacute;cula"
"Disabled","Deshabilitado"
"Edit Tag","Editar la etiqueta"
"Edit Tag '%s'","Editar la etiqueta '%s'"
"Are you sure you want to delete this tag?","Est&aacute; seguro de borrar esta etiqueta?"
"Are you sure that you want to delete this tag?","Est&aacute; seguro de borrar esta etiqueta?"
"Are you sure you want to do this?","Est&aacute; seguro que desea hacer esto?"
"Are you sure?","Est&aacute; seguro?"
"Status","Estado"
"Tag","Etiqueta"
"Tagged in","Etiquetado en"
"Tags","Etiquetas"
"Customers Tagged '%s'","Etiquetas de los clientes '%s'"
"Product Tags","Etiquetas del producto"
"Pending Tags","Etiquetas pendientes"
"Popular Tags","Etiquetas populares"
"Tags:","Etiquetas:"
"Thank you. Your tag has been accepted for moderation.","Gracias. Su etiqueta ha sido transferida al sector de moderaci&oacute;n"
"Save Tag","Guardar la etiqueta"
"ID","ID"
"Tag Information","Informaci&oacute;n de la etiqueta"
"Block Information","Informaci&oacute;n del bloque"
"General Information","Informaci&oacute;n general"
"Tag can't be empty.","La etiqueta no puede estar vac&iacute;a"
"Tags Aren't Available","Las etiquetas no est&aacute;n disponibles"
"List","Lista"
"My Tags","Mis etiquetas"
"My Recent Tags","Mis etiquetas recientes"
"You have not tagged any products yet.","No ha etiquetado ning&uacute;n producto a&uacute;n."
"No matches found.","No se encontraron coincidencias"
"Unable to find any products tagged with '%s' in the current store","No se pudieron encontrar productos etiquetados con '%s' en la tienda actual"
"Unable to save tag(s)","No se pudo grabar la(s) etiqueta(s)"
"Unable to save your tag. Please, try again later.","No se pudo grabar su etiqueta. Por favor, intente m&aacute;s tarde."
"Unable to remove tag. Please, try again later.","No se pudo quitar la etiqueta. Por favor, intente m&aacute;s tarde."
"Name","Nombre"
"First Name","Nombre"
"Tag Name","Nombre de la etiqueta"
"Tag Name: %s","Nombre de la etiqueta: %s"
"Product Name","Nombre del producto"
"New Tag","Nueva etiqueta"
"Other people marked this product with these tags:","Otras personas marcaron este producto con las siguientes etiquetas:"
"Country","Pa&iacute;s"
"Pending","Pendiente"
"Popular","Popular"
"Popularity","Popularidad"
"Price","Precio"
"Click on a tag to view your corresponding products.","Presione sobre una etiqueta para ver sus correspondientes productos."
"Products","Productos"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Products Tagged with '%s'","Productos etiquetados con '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Productos etiquetados con '%s' (<a href='%s'>RSS</a>)"
"Back to Tags List","Regresar a la lista de etiquetas"
"Back to view Tag","Regresar a la vista de etiquetas"
"You tag was successfully deleted","Su etiqueta fue borrada con &eacute;xito"
"You tag was successfully saved","Su etiqueta fue grabada con &eacute;xito"
"Your tag(s) have been accepted for moderation","Su(s) etiqueta(s) has sido transferidas al sector de moderaci&oacute;n"
"Telephone","Tel&eacute;fono"
"All tags","Todas las etiquetas"
"All Tags","Todas las etiquetas"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espacios para separar las etiquetas. Use comillas simples (') para frases."
"Uses","Usos"
"View Customers","Ver los clientes"
"View Products","Ver los productos"
"View All Tags","Ver todas las etiquetas"
"Visible In","Visible en"
"Back","Volver atr&aacute;s"
"XML","XML"
