"1 Day Freight","1 d&iacute;a de flete"
"2Day","2 d&iacute;as"
"2 Day Freight","2 d&iacute;as de flete"
"3 Day Freight","3 d&iacute;as de flete"
"Next Afternoon","A la tarde siguiente"
"Express Saver","Ahorro Express"
"Large","Amplitud"
"Library","Biblioteca"
"Invalid UPS CGI code for type %s: %s","C&oacute;digo CGI de UPS inv&aacute;lido para el tipo  %s: %s"
"Invalid USPS XML code for type %s: %s","C&oacute;digo inv&aacute;lido de c&oacute;digo XML de USPS para  el tipo %s: %s"
"Invalid DHL XML code for type %s: %s","C&oacute;digo XML de DHL inv&aacute;lido para el tipo  %s: %s"
"Invalid FedEx XML code for type %s: %s","C&oacute;digo XML de FedEx inv&aacute;lido para el tipo  %s: %s"
"FedEx 10kg Box","Caja de 10 kg de FedEx"
"FedEx 25kg Box","Caja de 25 kg de FedEx"
"Flat Rate Box","Caja de tarifa plana"
"Drop Box","Caja desplegable"
"FedEx Box","Caja FedEx"
"Calculate Handling Fee","Calcular costo de transporte"
"Letter","Carta"
"Business Service Center","Centro de servicos de negocios"
"Container","Contenedor"
"Password","Contrase&ntilde;a"
"Priority Mail","Correo electr&oacute;nico prioritario"
"Express Mail","Correo Express"
"Media Mail","Correo regular"
"Handling Applied","Costos de env&iacute;o aplicados"
"Package Description","Descripci&oacute;n del paquete"
"DHL","DHL"
"Shipment is not available.","El env&iacute;o no est&aacute; disponible."
"Packaging","Empaque"
"Bound Printed Matter","Encuadernaci&oacute;n de imprenta"
"Dropoff","Entrega"
"Home Delivery","Entrega a domicilio"
"Delivered","Entregado"
"Free shipping with minimum order amount","Env&iacute;o gratis con un importe m&iacute;nimo del Pedido"
"Shipment Dutiable","Env&iacute;o imponible"
"Shipment picked up","Env&iacute;o recogido"
"Ship to applicable countries","Enviar a pa&iacute;ses aplicables"
"Ship to Specific countries","Enviar a pa&iacute;ses espec&iacute;ficos"
"Error #%s : %s (%s)","Error #%s : %s (%s)"
"Error #%s: %s","Error #%s: %s"
"Unknown error","Error desconocido"
"Station","Estaci&oacute;n"
"Express 10:30 AM","Expreso 10:30 AM"
"International Express","Expreso internacional"
"Express","Express"
"FedEx","FedEx"
"Intl Priority Freight","Flete de prioridad internacional"
"Intl Economy Freight","Flete internacional econ&oacute;mico"
"Enabled","Habilitado"
"Access ID","ID de acceso"
"Account ID","ID de cuenta"
"User ID","ID del usuario"
"UserId","Idusuario"
"Minimum order amount for free shipping","Importe m&iacute;nimo del Pedido para env&iacute;os gratuitos"
"Unable to retrieve tracking","Imposible recuperar el seguimiento"
"International Economy","Internacional econ&oacute;mico"
"Response is in the wrong format","La respuesta est&aacute; en el formato incorrecto"
"Shipping key","Llave del env&iacute;o"
"Shipping key (International)","Llave del env&iacute;o (Internacional)"
"Pickup method","M&eacute;todo de recolecci&oacute;n"
"Free method","M&eacute;todo gratuito"
"Allowed methods","M&eacute;todos permitidos"
"Machinable","Machinable"
"Displayed Error Message","Mensaje de error mostrado"
"Show method if not applicable","Mostrar el m&eacute;todo aunque no sea aplicable"
"Account number","N&uacute;mero de cuenta"
"Access license number","N&uacute;mero de licencia de acceso"
"No","No"
" was not delivered nor scanned","no ha sido despachado ni escaneado"
"There is no available method for selected shipping address.","No hay ning&uacute;n m&eacute;todo disponible para la direcci&oacute;n de env&iacute;o seleccionada."
"Non-rectangular","No rectangular"
"Cannot retrieve shipping rates","No se pudieron obtener las tarifas de env&iacute;o"
"Standard Overnight","Nocturno standard"
"Sort order","Orden de clasificaci&oacute;n"
"Origin of the shipment","Origen del env&iacute;o"
"Parcel","Paquete"
"Package","Paquete"
"FedEx Pak","Paquete FedEx"
"Parcel Post","Paquete postal (encomienda)"
"Order","Pedido"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso m&aacute;ximo del paquete (por favor, consulte a su transporte para la carga m&aacute;xima soportada)"
"Flat","Plana"
"Please enter the package weight","Por favor, ingrese el peso de su paquete"
"First-Class","Primera Clase"
"International First","Primera internacional"
"Europe First Priority","Primera prioridad europea"
"First Overnight","Primero nocturno"
"International Priority","Prioridad Internacional"
"Priority Overnight","Prioridad nocturna"
"Receiver","Recibe"
"Regular Pickup","Recolecci&oacute;n regular"
"Rectangular","Rectangular"
"Regular","Regular"
"Sender","Remitente"
"Empty response","Respuesta vac&iacute;a"
"Express Saturday","S&aacute;bado Express"
"United Parcel Service","Servicio de empaque completo"
"Second Day Service","Servicio de segundo dia"
"Yes","Si"
"Flat Rate Envelope","Sobre de tarifa plana"
"FedEx Envelope","Sobre FedEx"
"Oversize","Sobrepeso"
"Request Courier","Solicitar Courier"
"Your Packaging","Su empaque"
"Title","T&iacute;tulo"
"Size","Tama&ntilde;o"
"Handling fee","Tasa de embalaje y env&iacute;o"
"Third Party","Terceras partes"
"Ground","Tierra"
"Destination type","Tipo de destino"
"Shipment type","Tipo de env&iacute;o"
"Shipment Duty Payment Type","Tipo de pago del env&iacute;o"
"Invalid UPS CGI code type: %s","Tipo inv&aacute;lido de c&oacute;digo CGI de UPS: %s"
"Invalid DHL XML code type: %s","Tipo inv&aacute;lido de c&oacute;digo XML de DHL: %s"
"Invalid FedEx XML code type: %s","Tipo inv&aacute;lido de c&oacute;digo XML de FedEx: %s"
"Invalid USPS XML code type: %s","Tipo inv&aacute;lido de c&oacute;digo XML de USPS: %s"
"UPS type","Tipo UPS"
"All Services","Todos los servicios"
"FedEx Tube","Tubo FedEx"
"Weight Unit","Unidad de peso"
"UPS","UPS"
"Gateway URL","URL de la pasarela"
"Tracking XML URL","URL del XML de seguimiento"
"Gateway XML URL","URL XML de la pasarela"
"USPS","USPS"
"Variable","Variable"
"United Parcel Service XML","XML de United Parcel Service"
