"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s fue agregado a la lista de art&iacute;culos de inter&eacute;s. Presione <a href=""%2$s"">aqu&iacute;</a> para continuar comprando"
"* Required Fields","* Campos Requeridos"
"Update Wishlist","Actualizar la lista de art&iacute;culos de inter&eacute;s"
"Added On","Agregado"
"Add to Wishlist","Agregar a la lista de art&iacute;culos de inter&eacute;s"
"Add to Cart","Agregar al carrito"
"Add All to Cart","Agregar todo al carrito"
"Are you sure you want to remove this product from your wishlist?","¿Está seguro de quitar este producto de su lista de artículos de interés?"
"Comment","Comentario"
"Sharing Information","Compartiendo informaci&oacute;n"
"Wishlist Sharing","Compartiendo la lista de art&iacute;culos de inter&eacute;s"
"Share Wishlist","Compartir la lista de art&iacute;culos de inter&eacute;s"
"Share Your Wishlist","Compartir mi lista de art&iacute;culos de inter&eacute;s"
"Share options","Compartir opciones"
"Email addresses, separated by commas","Direcciones de correo electr&oacute;nico separadas por comas"
"RSS link to %s's wishlist","Enlace RSS a la lista de art&iacute;culos de inter&eacute;s %s's"
"Are You sure?","Est&aacute; seguro?"
"RSS Feed","Feed RSS"
"Enabled","Habilitado"
"There was an error while adding item to wishlist.","Hubo un error al agregarse el art&iacute;culo a la lista de art&iacute;culos de inter&eacute;s."
"There was an error while adding item to wishlist: %s","Hubo un error al agregarse el art&iacute;culo a la lista de art&iacute;culos de inter&eacute;s: %s"
"There was an error while deleting item from wishlist.","Hubo un error al borrarse el art&iacute;culo de la lista de art&iacute;culos de inter&eacute;s."
"There was an error while deleting item from wishlist: %s","Hubo un error al borrarse el art&iacute;culo de la lista de art&iacute;culos de inter&eacute;s: %s"
"You input not valid email address.","Ingres&oacute; una direcci&oacute;n de correo electr&oacute;nico inv&aacute;lida."
"Go to Wishlist","Ir a la lista de art&iacute;culos de inter&eacute;s"
"Email address can't be empty.","La direcci&oacute;n de correo no puede estar vac&iacute;a"
"Wishlist is empty now.","La lista de art&iacute;culos de inter&eacute;s est&aacute; ahora vac&iacute;a."
"Wishlist","Lista de art&iacute;culos de inter&eacute;s"
"%s's Wishlist","Lista de art&iacute;culos de inter&eacute;s de %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque esta casilla si quiere agregar un enlace a un feed de RSS para su lista de art&iacute;culos de inter&eacute;s."
"Message","Mensaje"
"My Wishlist","Mi lista de art&iacute;culos de inter&eacute;s"
"My Wishlist (%d item)","Mi lista de art&iacute;culos de inter&eacute;s (%d art&iacute;culo)"
"My Wishlist (%d items)","Mi lista de art&iacute;culos de inter&eacute;s (%d art&iacute;culos)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Mi lista de art&iacute;culos de inter&eacute;s:<a href=""%s"">%d Art&iacute;culo(s)</a>"
"Cannot create wishlist","No se puede crear la lista de art&iacute;culos de inter&eacute;s"
"Cannot specify product","No se puede especificar el producto"
"Can't save description %s","No se puede guardar la descripci&oacute;n %s"
"You have no items in your wishlist.","No tiene art&iacute;culos en su lista de art&iacute;culos de inter&eacute;s"
"General Options","Opciones generales"
"Email Template","Plantilla de correo electr&oacute;nico"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor escriba direcciones de correo electr&oacute;nico v&aacute;lidas separadas por comas. Por ejemplo juan@dominio.com, jose@dominio.com"
"Please, enter your comments...","Por favor, escriba sus comentarios..."
"Product","Producto"
"Remove Item","Quitar el art&iacute;culo"
"Email Sender","Remitente de correo electr&oacute;nico"
"Your Wishlist was successfully shared","Su lista de art&iacute;culos de inter&eacute;s fue compartida con &eacute;xito."
"Last Added Items","Ultimos art&iacute;culos agregados"
"View Product","Ver el producto"
"Back","Volver atr&aacute;s"
